Date,Color,Rig Number,Region
03-01-2020,Other,282,West Texas
03-01-2020,Other,295,West Texas
03-08-2020,Orange,252,West Texas
03-08-2020,Orange,257,West Texas
03-08-2020,Orange,261,West Texas
03-08-2020,Orange,274,West Texas
03-08-2020,Orange,281,West Texas
03-08-2020,Orange,564,West Texas
03-08-2020,Orange,575,West Texas
03-08-2020,Orange,595,West Texas
03-08-2020,Red,225,West Texas
03-08-2020,Red,263,West Texas
03-08-2020,Other,282,West Texas
03-15-2020,Orange,225,West Texas
03-15-2020,Orange,282,West Texas
03-15-2020,Orange,282,West Texas
03-15-2020,Orange,298,West Texas
03-15-2020,Orange,595,West Texas
03-15-2020,Orange,807,West Texas
03-15-2020,Orange,810,West Texas
03-15-2020,Orange,810,West Texas
03-15-2020,Orange,810,West Texas
03-15-2020,Orange,812,West Texas
03-15-2020,Orange,813,West Texas
03-15-2020,Red,225,West Texas
03-15-2020,Red,263,West Texas
03-15-2020,Red,813,West Texas
03-15-2020,Red,813,West Texas
03-15-2020,Other,295,West Texas
03-15-2020,Other,566,West Texas
03-15-2020,Other,594,West Texas
03-22-2020,Orange,225,West Texas
03-22-2020,Orange,253,West Texas
03-22-2020,Orange,281,West Texas
03-22-2020,Orange,282,West Texas
03-22-2020,Orange,295,West Texas
03-22-2020,Orange,295,West Texas
03-22-2020,Orange,562,West Texas
03-22-2020,Orange,562,West Texas
03-22-2020,Orange,575,West Texas
03-22-2020,Orange,575,West Texas
03-22-2020,Orange,595,West Texas
03-22-2020,Orange,810,West Texas
03-22-2020,Orange,810,West Texas
03-22-2020,Red,562,West Texas
03-22-2020,Red,562,West Texas
03-22-2020,Red,588,West Texas
03-22-2020,Other,274,West Texas
03-22-2020,Other,282,West Texas
03-22-2020,Other,295,West Texas
03-22-2020,Other,595,West Texas
03-29-2020,Orange,250,West Texas
03-29-2020,Orange,261,West Texas
03-29-2020,Orange,281,West Texas
03-29-2020,Orange,298,West Texas
03-29-2020,Orange,559,West Texas
