Date,Color,Rig Number,Region
2019-10-06,Red,578,App
2019-10-06,Other,572,App
2019-10-06,Other,584,App
2019-10-13,Orange,292,App
2019-10-13,Orange,343,App
2019-10-13,Orange,347,App
2019-10-13,Orange,578,App
2019-10-13,Orange,582,App
2019-10-20,Orange,328,App
2019-10-20,Orange,339,App
2019-10-20,Orange,342,App
2019-10-20,Orange,347,App
2019-10-20,Orange,563,App
2019-10-20,Orange,571,App
2019-10-20,Orange,572,App
2019-10-20,Orange,580,App
2019-10-20,Orange,582,App
2019-10-20,Orange,584,App
2019-10-20,Orange,805,App
2019-10-27,Orange,347,App
2019-10-27,Orange,572,App
2019-10-27,Orange,581,App
2019-10-27,Other,577,App
2019-11-03,Orange,292,App
2019-11-03,Orange,292,App
2019-11-03,Orange,347,App
2019-11-03,Orange,563,App
2019-11-03,Red,584,App
2019-11-03,Other,259,App
2019-11-10,Orange,563,App
2019-11-10,Orange,572,App
2019-11-10,Orange,572,App
2019-11-10,Orange,581,App
2019-11-10,Orange,584,App
2019-11-10,Other,581,App
2019-11-10,Other,584,App
2019-11-17,Orange,328,App
2019-11-17,Orange,584,App
2019-11-17,Other,577,App
2019-11-24,Orange,328,App
2019-11-24,Orange,328,App
2019-11-24,Orange,581,App
2019-11-24,Orange,584,App
2019-12-01,Orange,584,App
2019-12-08,Orange,277,App
2019-12-08,Orange,328,App
2019-12-08,Orange,584,App
2019-12-08,Orange,584,App
2019-12-15,Orange,328,App
2019-12-15,Orange,580,App
2019-12-15,Orange,584,App
2019-12-15,Red,578,App
2019-12-15,Other,342,App
2019-12-15,Other,347,App
2019-12-15,Other,584,App
2019-12-22,Orange,577,App
2019-12-22,Orange,581,App
2019-12-22,Other,292,App
2019-12-29,Other,577,App
2020-01-05,Orange,584,App
2020-01-12,Orange,571,App
2020-01-12,Orange,581,App
2020-01-12,Orange,584,App
2020-01-12,Other,577,App
2020-01-19,Orange,294,App
2020-01-26,Orange,582,App
2020-01-26,Orange,584,App
2020-02-02,Orange,328,App
2020-02-02,Orange,337,App
2020-02-02,Orange,347,App
2020-02-02,Orange,581,App
2020-02-02,Orange,584,App
2020-02-02,Red,581,App
2020-02-09,Orange,337,App
2020-02-09,Orange,581,App
2020-02-09,Orange,581,App
2020-02-16,Orange,294,App
2020-02-16,Orange,328,App
2020-02-16,Orange,579,App
2020-02-16,Orange,584,App
2020-02-16,Orange,584,App
2020-02-16,Orange,584,App
2020-02-16,Orange,584,App
2020-02-23,Orange,259,App
2020-02-23,Orange,292,App
2020-02-23,Orange,337,App
2020-02-23,Orange,584,App
2020-02-23,Orange,584,App
2020-02-23,Orange,801,App
2020-02-23,Red,581,App
2020-03-01,Orange,294,App
2020-03-01,Orange,328,App
2020-03-01,Orange,337,App
2020-03-01,Orange,342,App
2020-03-01,Orange,342,App
2020-03-01,Orange,347,App
2020-03-01,Orange,580,App
2020-03-01,Orange,581,App
2020-03-01,Orange,584,App
2020-03-01,Red,347,App
2020-03-01,Other,578,App
2020-03-08,Orange,328,App
2020-03-08,Orange,328,App
2020-03-08,Orange,339,App
2020-03-08,Orange,571,App
2020-03-08,Orange,572,App
2020-03-08,Orange,578,App
2020-03-08,Orange,581,App
2020-03-08,Orange,584,App
2020-03-15,Orange,294,App
2020-03-15,Orange,337,App
2020-03-15,Orange,584,App
2020-03-22,Orange,277,App
2020-03-22,Orange,580,App
2020-03-22,Orange,581,App
2020-03-22,Orange,584,App
2020-03-22,Orange,805,App
2020-03-29,Orange,581,App
2020-03-29,Orange,801,App
2020-03-29,Other,582,App
2020-04-05,Orange,259,App
2020-04-05,Orange,328,App
2020-04-05,Orange,328,App
2020-04-05,Orange,328,App
2020-04-05,Orange,347,App
2020-04-05,Orange,347,App
2020-04-05,Orange,580,App
2020-04-05,Orange,581,App
2020-04-05,Orange,584,App
2020-04-12,Orange,292,App
2020-04-12,Orange,294,App
2020-04-19,Orange,259,App
2020-04-19,Orange,580,App
2020-04-19,Orange,580,App
2020-04-26,Orange,292,App
2020-04-26,Orange,328,App
2020-04-26,Orange,328,App
2020-04-26,Orange,563,App
2020-04-26,Orange,581,App
2020-04-26,Orange,581,App
2020-04-26,Orange,581,App
2020-04-26,Orange,583,App
2020-04-26,Orange,584,App
2020-05-03,Orange,581,App
2020-05-03,Orange,581,App
2020-05-03,Orange,581,App
2020-05-03,Orange,581,App
