Date,Color,Rig Number,Region
11-01-2020,Orange,211,East Texas
11-01-2020,Orange,221,East Texas
11-08-2020,Orange,209,East Texas
11-08-2020,Orange,211,East Texas
11-08-2020,Orange,239,East Texas
11-08-2020,Orange,269,East Texas
11-08-2020,Orange,279,East Texas
11-08-2020,Orange,585,East Texas
11-15-2020,Orange,211,East Texas
11-15-2020,Orange,221,East Texas
11-15-2020,Orange,221,East Texas
11-15-2020,Orange,585,East Texas
11-15-2020,Orange,586,East Texas
11-15-2020,Orange,591,East Texas
11-15-2020,Red,585,East Texas
11-22-2020,Orange,211,East Texas
11-22-2020,Orange,271,East Texas
11-29-2020,Orange,209,East Texas
11-29-2020,Orange,269,East Texas
12-06-2020,Orange,209,East Texas
12-06-2020,Orange,221,East Texas
12-06-2020,Orange,221,East Texas
12-06-2020,Orange,271,East Texas
12-13-2020,Orange,209,East Texas
12-13-2020,Orange,211,East Texas
12-13-2020,Orange,238,East Texas
12-13-2020,Orange,585,East Texas
12-13-2020,Orange,586,East Texas
12-20-2020,Orange,239,East Texas
12-20-2020,Orange,279,East Texas
12-20-2020,Orange,585,East Texas
12-20-2020,Orange,591,East Texas
12-27-2020,Orange,238,East Texas
12-27-2020,Orange,238,East Texas
12-27-2020,Orange,269,East Texas
01-03-2021,Orange,271,East Texas
01-10-2021,Orange,209,East Texas
01-10-2021,Orange,221,East Texas
01-10-2021,Orange,239,East Texas
01-10-2021,Orange,239,East Texas
01-10-2021,Orange,271,East Texas
01-10-2021,Orange,585,East Texas
01-17-2021,Orange,211,East Texas
01-17-2021,Orange,591,East Texas
01-24-2021,Orange,211,East Texas
02-07-2021,Orange,221,East Texas
02-07-2021,Orange,585,East Texas
02-14-2021,Other,279,East Texas
02-21-2021,Orange,239,East Texas
02-21-2021,Orange,585,East Texas
02-28-2021,Orange,279,East Texas
03-07-2021,Orange,271,East Texas
03-07-2021,Orange,585,East Texas
03-07-2021,Orange,586,East Texas
03-14-2021,Orange,279,East Texas
03-14-2021,Orange,586,East Texas
03-14-2021,Orange,586,East Texas
03-21-2021,Orange,238,East Texas
03-21-2021,Orange,269,East Texas
03-28-2021,Red,221,East Texas
04-04-2021,Orange,591,East Texas
04-11-2021,Orange,209,East Texas
04-11-2021,Orange,239,East Texas
04-11-2021,Orange,591,East Texas
04-11-2021,Orange,591,East Texas
04-18-2021,Orange,587,East Texas
04-25-2021,Orange,269,East Texas
04-25-2021,Orange,279,East Texas
04-25-2021,Orange,570,East Texas
04-25-2021,Orange,591,East Texas
05-02-2021,Orange,271,East Texas
05-02-2021,Orange,585,East Texas
05-02-2021,Orange,591,East Texas
05-02-2021,Orange,591,East Texas
05-02-2021,Orange,591,East Texas
05-02-2021,Red,591,East Texas
05-09-2021,Orange,221,East Texas
05-09-2021,Orange,238,East Texas
05-09-2021,Orange,269,East Texas
05-09-2021,Orange,271,East Texas
05-09-2021,Orange,591,East Texas
05-23-2021,Orange,Yard,East Texas
05-30-2021,Orange,279,East Texas
05-30-2021,Orange,586,East Texas
06-06-2021,Orange,238,East Texas
06-06-2021,Orange,591,East Texas
06-13-2021,Orange,269,East Texas
06-20-2021,Orange,269,East Texas
06-27-2021,Red,271,East Texas
06-27-2021,Red,279,East Texas
07-04-2021,Orange,238,East Texas
07-04-2021,Orange,812,East Texas
07-04-2021,Red,812,East Texas
07-11-2021,Orange,271,East Texas
07-11-2021,Orange,279,East Texas
07-11-2021,Orange,279,East Texas
07-11-2021,Orange,585,East Texas
07-11-2021,Orange,585,East Texas
07-11-2021,Orange,812,East Texas
07-11-2021,Red,812,East Texas
07-18-2021,Orange,585,East Texas
07-18-2021,Orange,591,East Texas
07-25-2021,Orange,239,East Texas
08-01-2021,Orange,269,East Texas
08-01-2021,Orange,269,East Texas
08-01-2021,Orange,586,East Texas
08-01-2021,Orange,591,East Texas
08-08-2021,Orange,586,East Texas
08-08-2021,Orange,586,East Texas
08-08-2021,Orange,586,East Texas
08-15-2021,Orange,269,East Texas
08-15-2021,Orange,586,East Texas
08-15-2021,Orange,591,East Texas
08-22-2021,Orange,591,East Texas
08-22-2021,Orange,591,East Texas
08-22-2021,Orange,591,East Texas
08-22-2021,Red,591,East Texas
08-29-2021,Red,570,East Texas
08-29-2021,Red,586,East Texas
09-05-2021,Orange,591,East Texas
09-05-2021,Orange,591,East Texas
09-12-2021,Orange,591,East Texas
09-19-2021,Orange,279,East Texas
09-26-2021,Orange,279,East Texas
10-03-2021,Orange,269,East Texas
10-03-2021,Orange,271,East Texas
10-03-2021,Orange,586,East Texas
10-03-2021,Orange,591,East Texas
10-10-2021,Orange,269,East Texas
10-10-2021,Orange,587,East Texas
10-17-2021,Orange,586,East Texas
10-17-2021,Red,586,East Texas
10-24-2021,Orange,586,East Texas
